model_name,key_technique,architecture,limitations,fixes
Arctic-TILT,"Extends the TILT encoder-decoder by replacing one-time text+image summation fusion with layer-wise tensor-product fusion applied after every encoder block (with gating, layer norm, dropout). Adds SLED-style chunked sparse attention (block-diagonal mask), nested gradient checkpointing, mixed precision, KV-cache removal and CPU offloading so a single 24GB GPU can train and serve up to 389k input tokens (~500 pages). Trained from T5-Large with extended self-supervised pretraining on CCpdf/OCR-IDL and SFT on 17 DU datasets, plus calibrated confidence scores via per-token min-aggregation.","Hierarchical Document Transformer based on a T5/U-Net OCR+layout+vision encoder-decoder (822M params). OCR text and bounding boxes drive textual semantics; a small U-Net visual encoder produces image embeddings fused per layer; chunked encoder attention with no overlap and a long-context decoder generate the answer.","Visual backbone is small (~8M params) and struggles with unusual aspect ratios, slide-heavy or infographic layouts. Performance shows a strong primacy bias toward evidence near the document start (lost-in-the-middle on later pages). Still constrained to ~500 pages and depends on OCR quality; not designed for cross-page agentic reasoning.","Targets TILT's fragile single-step text/image fusion and its 9k-token ceiling that prevented multi-page DU. Addresses the general MP-VRDU problems of quadratic attention cost and OCR token explosion, while keeping cost low enough for edge/enterprise deployment. Competes directly with hierarchical/long-context baselines like Hi-VT5 and GRAM and very large LVLMs (GPT-4V, Gemini), aiming to match them at sub-billion scale on long business documents."
AVIR,"Frozen Qwen2.5-VL-3B-AWQ generator combined with a lightweight (~100M) Pix2Struct-based page retriever. Key novelty is an Adaptive Page Selector that analyses the score distribution: K-means clustering (k=2) splits relevant from irrelevant pages for documents >4 pages with a Top-8 cap, while a probability threshold (0.6) is used for short documents to avoid discarding marginally relevant pages. No fine-tuning of the LVLM; prompt engineering only.","Retriever-Generator. Pipeline of (i) per-page Pix2Struct encoder with self-attention scoring head, (ii) adaptive page selector, (iii) AWQ-quantized Qwen2.5-VL-3B as the answer LVLM. Operates purely on visual features; OCR-free.","Retriever requires task-specific fine-tuning per dataset (limits generalization). Cannot answer global, list-of-answers or unanswerable questions well because some pages are always discarded. Hard cap of 8 pages caps recall on multi-evidence questions; cannot recover if all relevant pages are filtered out.","Directly attacks the rigid Top-K cutoff used by SelfAttnScoring and M3DocRAG, where any retrieval error cascades into a wrong answer. Also addresses the LVLM context-dilution problem on long documents observed in Qwen2.5-VL/InternVL3 baselines, and the heavy compute of cross-encoder retrievers like ColPali. Aligns with the broader MP-VRDU trend of replacing fixed Top-K with adaptive selection (also pursued by ViDoRAG via GMM)."
CoR,"Chain-of-Reading: a four-stage trainable CoT paradigm (Task Planning -> Phased & Focused Search -> Cross-modal Evidence Integration -> Synthesized Reasoning & Verification) supervised by a 26k QA CoR-Dataset with explicit reasoning traces. Adds Mask-AR, a self-supervised objective that masks figure/table captions and forces the MLLM to reconstruct them from the visual content, strengthening chart/figure grounding. Three-stage training: LoRA SFT on public DU data, full SFT on CoR+Mask-AR, then DPO alignment.","Backbone-Centric MLLM Adaptation. Qwen2.5-VL-7B fine-tuned end-to-end; OCR is invoked selectively only after evidence is localized rather than as a preprocessor. No external retriever or agent loop.","Still bounded by the Qwen2.5-VL context window for very long documents. Requires expensive supervised CoR traces and DPO data. Mask-AR depends on scientific-paper-style figure-caption pairs, which may not transfer to slides/forms. Performance gap remains versus strongest proprietary models (GPT-4o).","Solves Qwen2.5-VL's information dilution and evidence-localization failure on long PDFs without requiring an external retriever, addressing limitations identified in M3DocRAG/MDocAgent's retrieve-then-read pipelines (decoupled retrieval is brittle). Also targets shallow chart comprehension that hurts Docopilot/Leopard/InternVL3. Provides an end-to-end alternative to fixed RAG and agentic frameworks like SimpleDoc/MDocAgent while preserving interpretability via explicit reasoning traces."
CREAM,"Coarse-to-fine retrieval that first uses sentence embeddings then iteratively re-ranks chunks with RankVicuna in groups of m, narrowing to top-3. Pairs this with a multi-page vision encoder built on Pix2Struct: per-page features are augmented with page-position embeddings and merged via attention pooling with a learnable visual query, then fed to LLaMA via an AdapterMLP. LLaMA-Adapter V2-style efficient tuning (LoRA + prefix + bias) avoids full fine-tuning.","Retriever-Generator. OCR -> text chunks -> coarse-to-fine retrieval -> Pix2Struct encodes selected pages -> attention pooling produces a global multi-page representation -> LLaMA2-7B answers via parameter-efficient tuning.","Heavy reliance on OCR quality; iterative LLM re-ranking is expensive at inference time. Attention-pooled multi-page representation can wash out fine-grained details when many pages are retained. Frozen Pix2Struct encoder limits visual reading on novel layouts. Attention-pooling itself is a fixed aggregator (cannot dynamically inspect evidence like agentic methods).","Addresses the single-page limitation of LayoutLM/UDOP/DocFormer and the truncation/noise problems of dense text-only RAG when applied to multi-page DocVQA. Directly improves on Hi-VT5's per-page-then-decoder design by introducing a multi-page vision encoder with cross-page attention pooling. Tackles the general MP-VRDU bottleneck of fitting multiple high-res pages into an LLM context."
DFVC,"Dynamically Fusing Visual Context: a lightweight MLP adapter sits on top of a frozen VLM (VisRAG or ColQwen) and predicts gating weights (alpha, beta) over the previous and next page embeddings to produce a residual-fused embedding for the current page. Trained with a list-wise contrastive ranking loss plus a drift regularizer that prevents the fused embedding from straying too far from the original. Initialised with negative bias so the adapter starts as identity mapping for stable training.","Retriever-Generator (retrieval-side enhancement). Plug-and-play PEFT adapter over frozen VLM page encoders. Operates on cached embedding vectors; no re-indexing of the corpus required.","Only fuses across a fixed window of three pages (previous/current/next); cannot capture longer-range cross-page context. Requires training the adapter per backbone. Improves retrieval but does not change the downstream generator. Limited by base VLM's per-page representation quality.","Targets the i.i.d. page-encoding assumption of VisRAG and ColPali/ColQwen, which discards cross-page semantics when tables, paragraphs or sections span page breaks. Avoids the context-dilution problem that arises from naively concatenating neighbouring pages (as a sliding-window text RAG would). Complements graph-based and re-ranking approaches (MoLoRAG, MHier-RAG) by working purely at the embedding level."
Doc-V*,"OCR-free agent built on Qwen2.5-VL-7B that frames MP-DocVQA as sequential evidence aggregation. Begins with a low-resolution thumbnail grid overview of the entire document (annotated with absolute page numbers), then alternates between three actions: retrieval_page (semantic search over unvisited pages via ColQwen), fetch_page (direct index-based fetch of high-res cached visual tokens), and answer. Structured ReAct reasoning template (analysis/relevant_pages/summary) maintains a working memory across steps. Trained with SFT on 9k expert trajectories then GRPO with composite reward (answer correctness, evidence recall, format).","Agentic Pipeline (open-ended). Single-agent reactive loop over a cached page-token store. Uses ColQwen as external retriever and Qwen2.5-VL as both reasoner and answerer.","Higher inference latency and GPU memory than fixed RAG due to multi-step iteration. Bounded interaction horizon (T=8) limits very long evidence chains. Performance partially depends on the retriever (degrades modestly with weaker BM25/BGE-Large). GRPO training requires careful reward engineering.","Addresses the brittleness and rigid Top-K of static RAG (M3DocRAG, VisRAG, VDocRAG) by allowing the model to actively recover from missed retrievals via fetch_page. Also addresses the lost-in-the-middle/scaling problems of end-to-end LVLMs (Qwen2.5-VL, Docopilot, mPLUG-DocOwl2) that cannot fit very long documents. Improves on prompt-based agents (DocAgent, MDocAgent) by being trainable and OCR-free."
DocAgent,"Multi-agent framework that mimics human reading: extracts a hierarchical XML outline from PDFs (sections, headings, image captions, table titles, with first-sentence hints), then an actor agent uses five tools (search, get_section_content, get_image, get_page_images, get_table_image) to selectively retrieve content. A reviewer agent cross-verifies using complementary modalities; on disagreement a reflection module updates a cumulative task-agnostic memory bank that persists across questions.","Agentic Pipeline. Closed-source LLMs (GPT-4o / Claude 3.5 / Gemini 2.0) as actor + reviewer + reflection modules. Adobe PDF Extract for outline construction. No model fine-tuning.","Heavily prompt-engineered and tied to closed-source LLMs; no learned policy. Adobe PDF Extract may fail on scans or unusual layouts. Memory bank is a single growing string that can drift over time. API cost and latency are high. The reviewer uses the same base model, so cognitive blind spots may persist.","Targets the context-window and irrelevant-context problems of feeding entire documents to LVLMs (Gemini-page-images, GPT-4o-OCR baselines). Specifically beats single-modal RAG (PDFTriage, M3DocRAG) by adding multi-modal cross-verification. Establishes the agentic pattern that later DocDancer, DocLens, MDocAgent, SimpleDoc and Doc-V* refine, exposing the need for trainable open-source agents."
DocDancer,"First end-to-end trained DocQA agent. Uses MinerU2.5 for high-precision XML outline construction (17 element types with layout/semantic attributes). Provides only two tools: Search (full-text keyword search returning section IDs/snippets) and Read (goal-conditioned multimodal reader powered by an auxiliary VLM, Qwen3-VL-235B by default). Trained on 5k synthesized trajectories generated by an Exploration-then-Synthesis pipeline that explores documents via tool-use to produce challenging multi-hop QA pairs. Loss masks observation tokens to focus learning on agent decisions.","Agentic Pipeline. Single-agent ReAct loop on Qwen3-4B-Thinking or Qwen3-30B-A3B-Thinking backbones, with an external multimodal Read tool.","Depends on parsing quality of MinerU2.5; tool design is intentionally minimalist (only Search/Read), which may limit fine-grained spatial queries. Read tool relies on an auxiliary large VLM (Qwen3-VL-235B), so total inference cost is high. Synthetic data quality bounds learned behaviours.","Addresses DocAgent and SimpleDoc's reliance on closed-source LLMs and prompt-only design by providing the first end-to-end-trained open-source DocQA agent. Tackles the scarcity of high-quality DocQA training data via the Exploration-then-Synthesis pipeline. Improves outline quality over DocAgent's Adobe PDF Extract. Directly competes with MDocAgent, MACT and ViDoRAG by showing a single trained agent matches multi-agent systems."
DocLens,"Tool-augmented multi-agent framework with two modules. The Lens Module zooms in: a Page Navigator runs a VLM with OCR text + screenshots over chunked pages (sampled multiple times) to retrieve evidence pages with near-perfect recall (~97% on MMLongBench-Doc); an Element Localizer applies layout detection and crops figures/tables/charts for fine-grained inspection. The Reasoning Module uses a sampling-adjudication strategy: an Answer Sampler generates multiple CoT candidates, an Adjudicator picks the best.","Agentic Pipeline. Built on Gemini-2.5-Pro (or Flash/Claude-4-Sonnet) plus Tesseract OCR and an external layout detector. Hybrid backbones supported (cheap Flash for navigation, Pro for reasoning) for cost efficiency.","Depends on closed-source proprietary VLMs and external layout/OCR tools; not open-source end-to-end. Sampling-adjudication multiplies inference cost. Element Localizer offers little gain on text-only questions. Page Navigator must process the full document once, which limits scalability to extremely long corpora.","Directly addresses the poor evidence-page recall of vector retrievers (MDocAgent/M3DocRAG: 55-71% Recall@10) and the hallucination on unanswerable questions of vanilla LVLMs. Targets the loss of detail when only full-page screenshots are inspected (problem of mPLUG-DocOwl2 and Docopilot). Outperforms SimpleDoc by adding fine-grained visual element extraction and explicit adjudication."
Docopilot,"Native multi-page MLLM (no RAG) trained on a new 758k-sample Doc-750K dataset (5.2B text tokens, 3.1M images) covering single- and cross-page proxy tasks (abstract/title/caption/experiment writing, translation, multi-image QA). Uses InternVL2 architecture with engineering tricks (multimodal data packing, Ring Attention, Liger Kernel) to extend MLLM context for full-document training and inference.","Backbone-Centric MLLM Adaptation. InternViT-300M visual encoder + Intern LLM backbone (2B/8B). Document is rendered both as interleaved text-image and multi-image to feed long-context training.","Performance bound by the LLM's context window even with Ring Attention. Visual tokens still grow linearly with document length, limiting practical scalability beyond several dozen pages. Heavy training cost and dataset construction. Lacks an explicit retrieval/agent fallback when documents exceed capacity.","Built explicitly to address RAG's fragmented retrieval, multi-stage error accumulation and extra latency (criticism aimed at M3DocRAG/CREAM-style pipelines). Provides the first large-scale high-quality multi-page document QA training corpus, filling a gap noted by InstructDoc, Hi-VT5 and Leopard. Acts as a strong native baseline that retrieval-based methods (Doc-V*, DocLens, MoLoRAG) compare against."
DocR1,"EviGRPO: a GRPO variant for multi-page document understanding that adds an evidence-page-aware reward to the standard format and ANLS accuracy rewards. The model must output structured <think>/<evidence_page>/<answer> triplets with per-page T/F relevance flags; the evidence reward is F1 between predicted and gold evidence pages (using F1 instead of accuracy avoids the reward-hacking trap of always predicting all pages irrelevant). Two-stage curriculum: single-page warmup then multi-page training on 4.8k EviBench examples generated by a two-stage MLLM annotation+verification pipeline; releases ArxivFullQA evaluation set.","Backbone-Centric MLLM Adaptation. Qwen2.5-VL-7B fine-tuned with RL; no external retriever. The model performs both evidence localization and answer generation in one autoregressive pass.","Limited training data (4.8k examples). Cannot scale to documents whose page count exceeds Qwen2.5-VL's image-token capacity. Reward design assumes evidence-page annotations exist (not always available). Single-pass output means no iterative refinement when evidence is missed.","Targets the gap that prior visual RL methods (VisualRFT, Vision-R1, Video-R1) ignored multi-page document reasoning. Provides an alternative to retrieval-based pipelines (M3DocRAG, MoLoRAG) by training the MLLM itself to perform coarse-to-fine evidence selection. Complements Doc-V*'s GRPO-based agentic training with a non-agentic, single-pass formulation."
Doc-React,"Adaptive iterative ReAct-style framework that frames retrieval as InfoNCE-guided mutual-information maximisation. At each step an LLM judge decomposes the residual information gap into sub-queries and the retriever (ColPali or VisRAG) returns candidates whose normalised information gain (gain minus entropy) is greedily maximised. Stops when residual entropy cannot be reduced further.","Agentic Pipeline. GPT-4o as judge/generator over a multimodal dense retriever. No model training; entirely inference-time prompt orchestration.","Requires multiple LLM calls per question, increasing latency and API cost. Information-gain estimation is approximated and can be noisy. Heavily dependent on the underlying retriever quality. Not specialised for very long context aggregation.","Designed against the single-shot retrieval failure of VisRAG/ColPali when queries are under-specified or evidence is scattered across modalities (e.g., needing figures on a different page than the text mention). Influences subsequent iterative agentic frameworks (Doc-V*, DocLens, ViDoRAG, SimpleDoc) by formalising the trade-off between information gain and uncertainty."
DocSLM,"Compact 2B Small VLM designed for edge deployment. Hierarchical Multimodal Compressor jointly fuses visual patches, OCR text and layout into a fixed 576 tokens per page (5.6x reduction): Local OCR Compression cross-attends visual patches to spatially-aligned OCR tokens; Global Visual Compression then summarises local features into a fixed page representation using global low-res features as queries. Streaming Abstention partitions documents into segments processed sequentially; only text predictions and per-token entropy are stored across segments, then an Uncertainty Calibrator picks the most confident segment answer (with explicit ""Not Answerable"" abstention training).","Backbone-Centric MLLM Adaptation. SigLIP2 visual encoder + Qwen2.5-1.5B language backbone. Five-stage curriculum (image-OCR alignment -> image compression -> document compression -> instruction tuning -> streaming abstention) trains compressor + adapter + SLM.","Compression to 576 tokens/page may lose fine details on dense text-heavy pages. Streaming aggregation is single-pass; cannot revisit earlier segments. Smaller backbone caps reasoning ability versus 7B+ models. Requires multi-stage curriculum data.","Targets two problems other models leave open: (i) the linear visual-token growth of mPLUG-DocOwl2/Docopilot/InternVL2 that exceeds edge GPU memory, and (ii) the latency overhead of RAG pipelines like InternVL2-RAG (3.5x slower). Builds on GRAM's compression idea but maintains a constant per-page cost. Improves over LayTokenLLM by jointly compressing vision+OCR+layout in one module."
GRAM,"Extends a single-page DocFormerv2 encoder-decoder to multi-page by interleaving page-level (intra-page self-attention with shared weights) and document-level (global doc-token-only self-attention) sub-layers in each block. Introduces learnable Doc tokens with a per-attention-head decaying constant bias to force the pretrained encoder to attend to the new global tokens. Optional C-Former (compression transformer with N_c learnable queries) compresses concatenated encoder outputs before the decoder, trading accuracy for latency. Avoids the O((N*K)^2) cost of naive concatenation and avoids extra pretraining.","Hierarchical Document Transformer. T5-based DocFormerv2 backbone (859M); two-stage block structure (page sub-layer + doc sub-layer); optional C-Former and standard T5 decoder.","Memory still grows linearly with page count (no retrieval gating). DocFormerv2 backbone is proprietary, hindering reproducibility. C-Former compression hurts accuracy when N_c is small. Still constrained to documents that fit in single-pass encoder+decoder.","Targets Hi-VT5's lack of cross-page interaction prior to decoding (each page encoded fully independently) and the quadratic cost of LayoutLM/Longformer/BigBird on flat concatenated documents. Demonstrates that local+global attention can be retrofitted to strong single-page backbones without expensive pretraining, an alternative to the OCR-free MLLM trend (Docopilot, mPLUG-DocOwl2)."
Hi-VT5,"Hierarchical T5-based encoder-decoder. Each page is independently encoded with OCR tokens (with 2D position embeddings), DiT visual patches and the question; M learnable [PAGE] tokens summarise per-page content, similar to BERT's [CLS]. The decoder consumes the concatenation of all pages' [PAGE] tokens to generate the answer. An auxiliary answer-page-prediction head predicts which page contains evidence, providing explainability. Introduces the MP-DocVQA dataset (46k questions over 6k documents up to 20 pages).","Hierarchical Document Transformer. DiT visual encoder + T5-base text/decoder backbone. OCR-driven semantic + spatial + visual fusion at the page level only; no cross-page interaction in the encoder.","Pages are encoded fully independently before the decoder, losing cross-page context until late fusion. Cannot scale beyond ~20 pages in practice; truncates inputs. Relies on OCR quality. The single-page-evidence assumption built into MP-DocVQA limits learning of true multi-hop reasoning.","Establishes the multi-page VRDU problem itself by introducing MP-DocVQA. Solves the fundamental input-truncation problem of single-page LayoutLM/T5/BigBird models while keeping per-page processing tractable. Sets the baseline that GRAM, RM-T5, Arctic-TILT, CREAM and many later models compare against and explicitly try to surpass."
InstructDoc,"Releases InstructDoc, the first large-scale visual instruction-tuning collection of 30 datasets across 12 VDU task clusters with expert-written instructions covering both intent and answer style. Trains InstructDr, which extends BLIP-2 with a Document-former bridging module that fuses OCR text + layout + visual features via cross- and self-attention into m learnable tokens, then projects them into FlanT5's input space via an MLP. Updates only Document-former + projector during training; encodes multiple pages in parallel for multi-page documents.","Backbone-Centric MLLM Adaptation. CLIP visual encoder + FlanT5/BLIP-2 backbone + Document-former bridging module + small projection FFN.","Per-page processing with mean-pooling for multi-page inputs limits cross-page reasoning. Most tasks in the dataset are single-page; multi-page coverage (DUDE, SlideVQA) is small. Requires off-the-shelf OCR. CLIP encoder is not document-specialised.","Addresses the narrow training data of LLaVAR/DocOwl (1-3 task clusters, single template) that prevented zero-shot generalisation across VDU tasks. Tackles the gap that general visual instruction-tuning datasets ignore text-rich documents. Provides the dataset and bridging-module recipe that later models like Leopard and Docopilot extend with multi-image and long-context training."
KGP,"Builds a knowledge graph over the document corpus with passage nodes (text) and structural nodes (pages, tables) plus directed belonging edges. Three KG construction variants: TF-IDF (lexical similarity edges), KNN-ST/MDR (semantic similarity edges, optionally trained MDR-style for next-supporting-fact prediction), and TAGME (Wikipedia-entity overlap). An LLM-based KG traversal agent (instruction-tuned T5 or LLaMA) generates the next likely supporting fact and selects the closest neighbour on the graph, iterating until a budget is met. Structural questions are routed via extracted structure keywords directly to the matching nodes.","Agentic Pipeline (graph-based). Sparse text retrieval at the seed step; KG traversal performed by an instruction-tuned LM; final answer generated by a separate LLM (e.g., ChatGPT) over the retrieved passages.","Confined to text-only multi-document QA; ignores fine-grained visual elements (figures, charts). Quality of retrieval is upper-bounded by KG construction; denser graphs increase recall but reduce precision. Requires PDF parsing (Adobe PDF Extract). Not designed for the visually-rich multi-page DocVQA setting that later models target.","Frames the multi-document/multi-passage QA problem as a graph-traversal task, addressing the inability of single-shot dense retrievers to follow logical chains across documents. Predates and motivates later graph-based RAG work (MoLoRAG, MLDocRAG, MultiDocFusion) and structure-aware retrieval. The structural-question handling foreshadows the layout-as-navigation idea later used by MHier-RAG and DocAgent."
