ID,Model,OCR,Architecture,OCR Use,Rationale / Key Technique
1,Arctic-TILT,yes,Hierarchical/Global Transformer,"OCR-dependent: OCR text and layout are required inputs and are fused with image features in the TILT-style encoder-decoder.","Combines OCR text, layout, and image features in a TILT-style encoder-decoder, extending it with sparse long-context processing and layer-wise multimodal fusion."
2,AVIR,no,Retriever-Generator,"No OCR is used; evidence retrieval and answer generation operate over page images and visual embeddings.","Uses page images directly with a lightweight visual retriever, then adaptively selects evidence pages before passing them to a frozen VLM generator."
3,CoR,yes*,Native MLLM Adaptation,"Uses OCR selectively after visual evidence localization, but it is not OCR-dependent because the model directly consumes page images and performs end-to-end locate-then-read reasoning.",Teaches a locate-then-reason chain in which the model visually grounds relevant regions and selectively reads textual evidence.
4,CREAM,yes,Retriever-Generator,"OCR-dependent: an OCR engine extracts text chunks that drive coarse-to-fine retrieval before multimodal answer generation.","Retrieves OCR chunks, reranks evidence, and combines the selected textual evidence with multimodal page representations for answer generation."
5,DFVC,no,Retriever-Generator,"No OCR is used; retrieval is based on visual page embeddings with neighboring-page context fusion.","Improves visual page retrieval by fusing neighboring-page context into page embeddings, targeting evidence selection without an OCR-first pipeline."
6,Doc-V*,no,Agentic,"No OCR is used; it explicitly uses OCR-free thumbnails, visual fetch actions, and visual working memory.",Uses OCR-free page thumbnails and visual fetch actions with working memory; key technique is coarse-to-fine agentic evidence aggregation trained with SFT and GRPO.
7,DocAgent,yes*,Agentic,"Uses OCR-derived document content for outline/search and text evidence, but is not fully OCR-dependent because it also retrieves and verifies page, image, chart, and table evidence through visual tools.",Builds a tree-style document outline and coordinates actor/reviewer behavior with tools and memory to navigate multimodal long documents.
8,DocDancer,yes*,Agentic,"Uses extracted text that may include OCR-derived strings through the document processing/read tools, but it is not OCR-dependent because the agent also reads images, tables, and page screenshots; OCR is mainly contrasted with baselines.",Trains an open-source ReAct document agent with search/read tools and exploration-then-synthesis supervision for grounded information seeking.
9,DocLens,yes,Agentic,"OCR-dependent: OCR/layout parsing supplies text and element structure used by the page navigator, localizer, answer sampler, and adjudicator agents.","Uses OCR/layout parsing and visual element localization through page navigator, element localizer, answer sampler, and adjudicator agents."
10,Docopilot,yes*,Native MLLM Adaptation,"Uses OCR only indirectly: training/evaluation discuss built-in OCR capability, OCR-oriented data, and OCR baselines, while inference relies on page images and PDF-parser interleaved text-image inputs rather than external OCR.","Trains a native long-context document MLLM on interleaved text-image data, emphasizing backbone adaptation rather than retrieval augmentation."
11,DocR1,no,Native MLLM Adaptation,"No OCR is used; the VLM predicts evidence pages and answers from visual document inputs.",Fine-tunes a VLM with evidence-page-guided GRPO so the model jointly predicts supporting pages and answers from visual document inputs.
12,DocReact,no,Agentic,"No OCR is used in the proposed method; OCR appears only in baseline comparisons while DocReact reasons over multi-page document images and multimodal evidence.","Uses an iterative ReAct-style process with subquery generation, retrieval, judging, and final answer synthesis over heterogeneous document evidence."
13,DocSLM,yes,Native MLLM Adaptation,"OCR-dependent: a lightweight OCR module provides word-box tokens that are fused with layout and visual crop features for compression and streaming inference.","Uses OCR, layout, and visual features inside a small VLM with hierarchical multimodal compression and streaming abstention for long-document inference."
14,GRAM,yes,Hierarchical/Global Transformer,"OCR-dependent: it extends OCR/text-layout document VQA backbones with global document tokens and local-global reasoning.",Adds global document tokens and local-global reasoning modules to fuse page-level and document-level multimodal context.
15,Hi-VT5,yes,Hierarchical/Global Transformer,"OCR-dependent: per-page OCR/text-layout representations are encoded before hierarchical page-summary reasoning.","Encodes each page and then reasons over page summary tokens, making hierarchical page-to-document fusion the central design."
16,InstructDr,yes,Native MLLM Adaptation,"OCR-dependent: an external OCR engine supplies OCR tokens and bounding boxes to the Document-former/LLM along with image features.",Uses the InstructDoc instruction mixture and a Document-former bridge to adapt a backbone across visual document tasks.
17,KGP,no,Retriever-Generator,"No OCR is specified; it operates over already available passages, pages, tables, and graph structure rather than an OCR pipeline.","Converts parsed passages, pages, and tables into a knowledge graph, then uses graph traversal and prompting to retrieve structured evidence."
18,LayTokenLLM,yes,Native MLLM Adaptation,"OCR-dependent: OCR text segments and coordinates are the primary model input, with layout tokens adding spatial information.",Treats OCR text segments as the main input and injects layout through a compact layout token sharing text positions; key technique is model-internal layout-token adaptation and layout-aware pretraining.
19,Leopard,no,Native MLLM Adaptation,"No external OCR is used; text-rich reading is handled internally by the high-resolution multi-image VLM.","Adapts a text-rich multi-image VLM through high-resolution visual encoding and instruction tuning, avoiding an explicit OCR pipeline."
20,M2RAG,yes*,Agentic,"Uses OCR/PDF parsing for the textual retrieval branch, but is not solely OCR-dependent because it also preserves page images and uses visual retrieval plus visual extraction agents.","Combines BM25 and visual retrieval with text filter, visual extractor, and modal fuser agents for multimodal RAG."
21,M3DocRAG,no,Retriever-Generator,"No OCR is used; it explicitly uses page-image retrieval and VLM generation instead of text extraction/OCR.","Uses visual document retrieval, such as page-image embeddings, followed by VLM answer generation for multi-page and multi-document QA."
22,MACT,no,Agentic,"No OCR is used; VLM agents operate over visual document inputs with LLM-based judgment and answer synthesis.","Uses VLM-based planning and execution agents plus LLM-based judgment and answer agents, with adaptive test-time scaling and self-correction."
23,MDocAgent,yes*,Agentic,"Uses OCR/PDF parsing to build the text retrieval branch, but is not fully OCR-dependent because it runs parallel image retrieval and dedicated image agents over preserved page images.","Combines text and image RAG with general, critical, text, image, and summarizer agents to coordinate multimodal evidence use."
24,MHier-RAG,no,Retriever-Generator,"No OCR is used in the proposed method; it uses Docling PDF parsing, hierarchical text indexes, LVLM visual descriptions, and raw visual evidence, while OCR appears only in baselines.","Builds hierarchical, multi-granularity indexes over visual-rich documents and retrieves parent pages, summaries, and chunks before generation."
25,MLDocRAG,yes,Retriever-Generator,"OCR-dependent: OCR/MinerU-derived chunks, including OCR-derived table Markdown, are part of the retrieval units used for LVLM generation.","Constructs a multimodal chunk-query graph with synthetic query anchors, then retrieves and expands evidence through graph links."
26,MoLoRAG,no,Retriever-Generator,"No OCR is used in the proposed method; OCR appears in text-RAG baselines and OCR-method ablations only.","Uses multimodal logic-aware retrieval over a page graph, combining semantic similarity with graph traversal before generation."
27,mPLUG-DocOwl2,no,Native MLLM Adaptation,"No OCR is used; it explicitly targets OCR-free multi-page document understanding from compressed high-resolution page images.",Compresses high-resolution page images into compact visual tokens and trains an OCR-free multi-page MLLM.
28,MultiDocFusion,yes,Retriever-Generator,"OCR-dependent: OCR over detected regions is part of the parsing/chunking pipeline used to construct structure-aware multimodal RAG units.","Uses document parsing, OCR, and structure-aware multimodal chunking to build retrieval units for long industrial-document RAG."
29,PDF-WuKong,yes*,Native MLLM Adaptation,"Uses parsed/OCR-token text when available through the PDF parsing pipeline, but is not OCR-dependent because sparse sampling operates over interleaved text and image evidence and can select visual content.","Parses both text and images, then applies sparse sampling and shared visual encoding to support efficient long-PDF reading."
30,RAG-DocVQA,yes*,Retriever-Generator,"Uses OCR in the textual RAG variants, but is not OCR-dependent as a model family because it also evaluates visual OCR-free RAG variants.","Studies both textual and visual RAG variants, using retrieval over OCR/text or visual evidence before a document VQA generator."
31,RM-T5,yes,Hierarchical/Global Transformer,"OCR-dependent: OCR word and spatial embeddings are consumed with visual features while recurrent memory carries information across pages.","Carries recurrent memory tokens across pages while consuming multimodal page inputs, enabling document-level reasoning over long page sequences."
32,Self-Attention Scoring,no,Retriever-Generator,"No OCR is used; Pix2Struct-style visual representations and self-attention select the relevant page image.",Uses Pix2Struct visual representations and self-attention scoring to select the most relevant page image before answering.
33,SimpleDoc,yes*,Agentic,"Uses extracted page text as an auxiliary cue together with page images and VLM-generated summaries, but is not OCR-dependent because retrieval and reasoning are primarily visual and memory-guided.","Combines visual page retrieval with textual page summaries, LLM reranking, memory, and iterative query refinement."
34,TextHawk2,yes*,Native MLLM Adaptation,"Uses OCR during training/data construction and is trained for OCR tasks, but it is not dependent on an external OCR engine at inference because OCR is an internal VLM capability.",Uses token-efficient high-resolution visual compression and grounding-oriented training to read documents without external OCR.
35,VDocRAG,yes*,Retriever-Generator,"Uses OCR text only as a pretraining pseudo-target/signal; inference is not OCR-dependent and operates through visual document retrieval and generation over page images.","Adapts LVLMs into a visual document retriever and generator, using OCR only as a pretraining signal while inference operates on page images."
36,ViDoRAG,yes*,Agentic,"Uses OCR text chunks in the textual retrieval pipeline, but is not fully OCR-dependent because it also uses visual retrieval and dynamic agentic inspection over images.","Combines textual and visual retrieval through GMM-based adaptive recall, then uses seeker, inspector, and answer agents for iterative reasoning."
