Tier,Name,Dependencies,Relationship,Category,Encoder / Decoder,Description,Key Technique,Architecture,(Pre)-training Objective,Rationale,BibTex (Unverified)
3,DocFormerv2,Transformer,Uses,Document AI Model,Encoder + Decoder,State-of-the-art model for visually rich documents introducing an asymmetric pre-training approach. Vastly improves both efficiency and performance of document parsing over previous LayoutLM-style models.,"Utilizes an asymmetric autoencoder design where a heavy encoder extracts joint multimodal features and a lightweight decoder reconstructs them. The decoder is discarded after pre-training, leaving a highly efficient encoder.","Asymmetric Transformer Encoder-Decoder. The deep encoder processes multimodal inputs (text, vision, layout), while the shallow decoder is strictly used during pre-training for reconstruction tasks.",Asymmetric Masked Modeling reconstructing both masked text tokens and continuous visual patches from the document image simultaneously.,Standard symmetric pre-training is incredibly computationally expensive for high-resolution documents. A shallow decoder for reconstruction speeds up training significantly while forcing the encoder to learn deeper representations.,appalaraju2023docformerv2
3,Gemma 2,Transformer; Gemma; Gemini; GQA; RoPE; RMSNorm,Uses; Extends; Distilled from; Uses; Uses; Uses,Language Model,Decoder,High-performance series of open-weights LLMs designed to punch far above their weight class. Achieves this by using massive teacher models for knowledge distillation and an advanced interleaved attention architecture.,Alternates between local sliding window attention and global attention to balance context capture with memory efficiency. Employs Logit Soft-Capping to prevent logit drift and stabilize training for extremely deep networks.,Decoder-only Transformer featuring Grouped-Query Attention (GQA) and RMSNorm pre/post normalization. Interleaved attention processes up to 8192 tokens efficiently by limiting full attention to every other layer.,Autoregressive Next-Token Prediction combined heavily with Knowledge Distillation. Smaller models minimize negative log-likelihood against soft probability distributions generated by larger Gemini teacher models.,"Training small models from scratch on hard labels often limits reasoning depth. Distillation transfers world knowledge and reasoning nuance of massive models, allowing small models to rival competitors twice their size.",gemma2team2024gemma
4,ColPali,ColBERT; PaliGemma,Extends; Uses,Retrieval Model,Encoder,Groundbreaking retrieval model designed specifically to solve the 'PDF bottleneck' in RAG pipelines. Completely bypasses error-prone OCR by applying late interaction directly to visual patch embeddings of document pages.,Adapts the ColBERT MaxSim operator for the visual domain. Matches text query tokens directly against a dense grid of raw image patch embeddings extracted from a document page to find visual regions answering the query.,PaliGemma vision encoder combined with a ColBERT-style late interaction mechanism. Image patches map directly to a 128-dimensional token-level embedding space without generating intermediate text.,Contrastive learning using InfoNCE loss combined with Late Interaction matching. Maximizes the MaxSim score between a user query and the image of the specific document page containing the answer.,"OCR pipelines destroy spatial context, fail on complex tables, and miss visual cues. Retrieving directly on visual patches preserves layout semantics and achieves state-of-the-art multi-page document retrieval.",faysse2024colpali
4,CoT,GPT,Prompting Strategy,Prompting Framework,N/A,"Paradigm shift in how LLMs are queried, significantly boosting reasoning capabilities. Forces the model to articulate intermediate logical steps before outputting the final answer.","Prompts the model to generate a reasoning chain (latent variables) instead of standard input-output prompting. Decomposes complex problems into smaller, manageable conditional probabilities.",N/A,N/A,Standard prompting forces complex math or logic into a single forward pass token. Spreading computational FLOPs across multiple tokens vastly reduces errors on multi-step reasoning tasks.,wei2022chain
4,Vicuna,LLaMA 3,Extends,Language Model,Decoder,Influential open-source chatbot created by fine-tuning LLaMA models on user-shared conversations. Proved high-quality conversational data could rapidly align base models to approach ChatGPT-level interaction quality.,"Pioneered the use of crowdsourced, high-quality dialogue data (scraped from ShareGPT) for highly effective supervised fine-tuning. Focused on multi-turn conversation flow rather than single-turn instruction following.",Strictly identical to the base LLaMA model (Decoder-only Transformer). Differentiation lies entirely in post-training alignment data and learning rate optimizations.,"Supervised Fine-Tuning (SFT) using standard cross-entropy loss on approximately 70K high-quality, multi-turn user-shared conversations to learn human-like dialogue patterns.","Base LLMs are autocomplete engines and do not naturally converse. Demonstrated that a relatively small amount of highly diverse, high-quality dialogue data unlocks powerful conversational agents.",chiang2023vicuna
4,MinerU,Transformer; ViT,Uses; Uses,Document Parsing Tool,Encoder + Decoder,"Highly precise, specialized parsing tool designed to extract structured markdown from complex PDFs. Crucial for generating high-quality RAG corpora from visually rich documents containing complex tables and mathematical formulas.",Replaces heuristic-based PDF parsing with a pipeline of specialized vision models. Utilizes layout detection models to segment pages and vision-to-text models to translate complex formulas and tables into precise LaTeX/Markdown.,"Sequential pipeline architecture rather than a single model. Orchestrates object detection models, OCR engines, and specialized VLM decoders to construct the final document representation.","Various supervised tasks depending on the pipeline component, such as bounding box regression for layout detection and sequence-to-sequence reconstruction for formula parsing.","Traditional PDF parsers jumble text reading order and destroy table structures, ruining RAG pipelines. Treating document parsing as a rigorous computer vision task preserves exact semantic structures required by LLMs.",mineru2024
4,Adapter (Houlsby 2019),Transformer,Extends,Parameter Efficient Fine Tuning,N/A,Parameter-efficient fine-tuning technique designed to adapt massive models to new tasks without updating all weights. Allows multiple downstream tasks to be trained efficiently while avoiding catastrophic forgetting.,"Inserts small, trainable bottleneck feed-forward networks (Adapters) between fixed layers of a pre-trained transformer. Modifies less than 3% of total parameters during fine-tuning while original weights remain frozen.",Small bottleneck Multi-Layer Perceptrons (MLPs) injected sequentially after attention and feed-forward modules of a standard Transformer block.,N/A,Full fine-tuning is computationally prohibitive and creates separate massive model copies for every task. Achieves near-identical performance while drastically reducing memory requirements and allowing inference hot-swapping.,houlsby2019parameter
4,MLP Projector,Transformer,Component,Architecture Component,N/A,Simple but critical network component used in modern multimodal LLMs to align different modalities. Translates feature representations extracted from a visual encoder into the mathematical embedding space of the language model.,Acts as a bridge taking high-dimensional Vision Transformer output and mapping it linearly (or non-linearly) into the exact dimensionality required by the LLM's input layer.,"Typically a 2-layer Multi-Layer Perceptron. Consists of a linear layer, non-linear activation function (like GELU), and another linear layer to match the hidden dimension of the LLM.","Trained via Feature Alignment objectives where the projector receives all gradient updates while larger vision and language models are frozen, learning to translate between modalities.",Vision and language models are trained in completely different latent spaces. Efficiently bridges this gap to allow the LLM to process visual tokens exactly as if they were foreign language text tokens.,liu2023visual
4,LoRA,Transformer,Extends,Parameter Efficient Fine Tuning,N/A,Widely adopted parameter-efficient fine-tuning method drastically reducing the number of trainable parameters. Allows massive models to be fine-tuned on single consumer GPUs.,Hypothesizes weight updates during fine-tuning have a low intrinsic rank. Freezes the massive weight matrix and adds a trainable low-rank decomposition matrix in parallel instead of updating full weights.,"Adds a parallel path calculating (B x A) alongside the frozen weight matrix (W). Trained low-rank matrices are multiplied and added back into W for inference, resulting in zero latency overhead.",N/A,"Fine-tuning a 70B parameter model requires vast VRAM just to store optimizer states. Reduces trainable parameters by up to 10,000x, democratizing fine-tuning while matching full fine-tuning accuracy.",hu2021lora
4,ReAct,CoT; GPT,Extends; Uses,Agentic Framework,N/A,"Foundational agentic prompting framework enabling LLMs to interface dynamically with external tools. Transforms an LLM from a static text generator into an active agent capable of iterative search, compute, and reasoning.",Interleaves internal reasoning steps (Thought) with external tool calls (Action) and environmental results (Observation). Creates a dynamic loop where the model plans moves based on real-time feedback.,N/A,N/A,"LLMs naturally hallucinate when lacking information. Forces the model to pause, actively retrieve missing information from an API or database, and incorporate real-world observations before concluding.",yao2022react
5,ViDoRAG,RAG; ColPali; Qwen2-VL; ReAct; BM25,extends retrieval; visual retrieval; answer generation backbone; agentic reasoning pattern; sparse retrieval,Multi-Page VRDU Model,N/A,N/A,"Multi-agent iterative reasoning (Seeker, Inspector, Answer agents); GMM-based dynamic hybrid retrieval (Text + Vision)",Multi-agent RAG framework + GMM-based hybrid retriever,N/A,Inference-only; LLMs like Qwen2.5-VL used as agents in prompt-driven generation,wang2025vidorag
5,Doc-React,RAG; BERT; BM25; T5,extends iteratively; dense retrieval encoder; sparse fallback; seq2seq reader,Multi-Page VRDU Model,N/A,N/A,Adaptive iterative retrieval framework that maximises entropy-normalised nutual information gain at each step,"Pipeline that wrap an existing MLLM (GPT-4o) and multimodal retrieval model (ColPali / VisRAG-Ret), MLLM acts as both judge and generator within ReAct-style loop",N/A,1. Generator: produce answers from retrieved multimodal page substeps 2. Judge: evaluate information gaps and generates refined sub-queries via information differentiation,wu2025doc
5,Doc-Agent,RAG; ReAct; CoT (Chain-of-Thought); LLaMA 3,extends; agent loop pattern; reasoning traces; LLM backbone,Multi-Page VRDU Model,N/A,N/A,"Multi-agent framework mimicking human reading, extracts a hierarchical XML tree-structured outline from the document, then use an actor agent with 5 retrieval tools to gather evidence, reviewer agent cross-checks answers from complementary sources/modalities, reflection-based memory bank for knowledge transfer across tasks","Training-free pipeline: 1. Outline construction (adobe PDF extract --> XML tree) 2. Actor agent (LLM + 5 tools: search, get_section_content, get_image, get_page_images, get_table_image) 3. ReviewAgent (same toolset, independent trajectory) 4. Reflection Memory Module (LLM-generated verbal guidelines, cumulative string memory)",N/A,"Reasoning engine for all 3 agents: plans tool calls, reads retrieved multimodal content, generates answers, cross-checks answers, synthesises verbal memory guidelines",sun2025docagent
5,MDocAgent,ColBERT; ColPali; RAG; ReAct; Qwen2-VL,text retrieval; visual retrieval; retrieve-then-read paradigm; agent orchestration; VLM backbone,Multi-Page VRDU Model,N/A,N/A,"Design a multi-agent framework to integrate specialized agents from text/image understanding, critical information extraction and fianl answer prediction.",Multi-agents structure combining several LLMs/MLLMs.,N/A,LLMs/MLLMs are frozen and adopted as specialised agents. Llama-3.1-8B-Instruct is used as text agent and Qwen2VL-7B-Instruct used for others. ColBERTv2 and ColPali used as vision and language retriever.,han2025mdocagent
5,M3DocRAG,ColPali; Qwen2-VL; RAG,visual page retrieval; answer generation backbone; retrieval-augmented framework,Multi-Page VRDU Model,N/A,N/A,"Retrieves relevant document pages using ColPali visual embeddings rather than OCR, preserving visual information --> MLLM (Qwen2-VL)",PDF --> RGB images --> ColPali --> Retrieval --> MaxSim scoring --> MLLM Answer generation,N/A (ColPali + Qwen2VL pretrained),Qwen2-VL 7B for answer generation,cho2024m3docrag
5,VDocRAG,CLIP; Qwen2-VL; RAG; LoRA,contrastive visual embedding; VLM backbone; retrieve-then-read paradigm; parameter-efficient fine-tuning,Multi-Page VRDU Model,N/A,N/A,"2 component RAG framework (VDocRetriever + VDocGenerator) , retriever uses pretrained LVLM to compress entire page images into dense EOS token embeddings aligned with OCR content","LVLM based dual encoding of queries and document images, maximum inner product search for retrieval, top-K retrieved page images concatenated with question is used to generate answer autoregressively","VDocRetrieve pre-trained on 500K document image-OCR pairs using 2 objectives: RCR + RCG, LLM frozen, only LoRA + projector updated","Phi3V (4.2B, primary) and Idefics3 (8B, alternative) for LLM backbone in VDocRetriever and as VDocGenerator for answer generation respectively",tanaka2025vdocrag
5,MoLoRAG,ViT; Qwen2-VL; RAG,page visual encoder; VLM traversal backbone; retrieve-then-read framework,Multi-Page VRDU Model,N/A,N/A,"Construct a page level graph, then uses a lightweight VLM as retrieval engine to traverse graph and score pages on semantic similarity and logical relevance to question","ColPali to encode document and build page graph, Qwen2.5VL-3B as retrieval engine for logical relevance scoring, top K retrieved pages images fed into arbitrary LVLM for answer generation",N/A,"Qwen2.5-VL-3B for lightweight retrieval and assigning logical relevance scores, Qwen2.5-VL-7B for answer generator",wu2025molorag
5,AVIR,Pix2Struct; Qwen2-VL,page relevance scoring backbone; adaptive answer generation backbone,Multi-Page VRDU Model,N/A,N/A,"Lightweight Pix2Struct scores pages based on question relevance, then use K-means clustering (for long docs) or threshold filtering (for short docs) to select most relevant pages","Frozen Pix2Struct encoder (100M) with 2 self attention layers and a sigmoid head for relevance scoring + frozen AWQ quantized Qwen2.5-VL-3B for answer generation, receiving only adaptively selected pages",N/A,Qwen2.5-VL-3B-AWQ frozen answer generator,li2025avir
5,KGP,RAG; BERT; BM25,retrieval-augmented framework; text encoder for KG nodes; sparse retrieval,Multi-Page VRDU Model,N/A,N/A,Construct KG from documents (passages/pages/tables) + LLM-based graph traversal agent,"KG + LLM traversal (T5, LLaMA, ChatGPT) for retrieval + final answer from ChatGPT",N/A,T5 (or LLaMA): instruction-finetuned for graph traversal agent; LLM predicts next passage to retrieve,wang2024knowledge
5,LayTokenLLM,Transformer; LLaMA 3; LoRA; LayoutLMv3,architectural basis; LLM backbone; parameter-efficient fine-tuning; layout encoding inspiration,Multi-Page VRDU Model,N/A,N/A,Layout Token with New Positional Encoding Scheme for Layout Tokens without additional positional IDs.New Pretraining prediction pretraining. ,Layout Token is proposed to integrated into LLM as interleaved input with text tokens.,Next Interleaved Text and Layout Token Prediction,"Contiuning Pretraining: LLama3-8B,Qwen1.5-7B as backbone for Text and Layout encoding.",zhu2025simple
5,CREAM,RAG; BERT; T5; LoRA,coarse-to-fine retrieval framework; text embedding encoder; seq2seq reader; efficient fine-tuning,Multi-Page VRDU Model,N/A,N/A,Coarse-to-fine retrieval: text embedding similarity (coarse phase) + LLM-based multi-round gruoping and reranking (find phase) to identify more relevant chunks,Pix2Struct vision encoder extended via an attention pooling mechanism to handle multiple document pages --> projected into LLaMA2 7B via AdapterMLP layer,N/A,Generates final answer conditioned on question + text chunks + visual document representations,zhang2024cream
5,MHier-RAG,RAG; ColPali; Qwen2-VL; BM25,hierarchical retrieval framework; visual page retrieval; answer generation backbone; sparse first-stage retrieval,Multi-Page VRDU Model,N/A,N/A,Multi-modal RAG with two complementary hierarchical index structures: (1) a Flattened In-Page Index enabling parent-page retrieval with LLM-based re-ranking to bridge modality disconnection within a page; (2) a Topological Cross-Page Index using Gaussian Mixture Model clustering and LLM-generated summaries for document-level long-distance reasoning across pages,"Training free: Docling PDF parser --> textual chunks (plain text, tables, layout) --> LVLM generated visual descriptions + raw images --> dual hierarchical index --> multi-granularity retriever --> LLM answer with CoT + structured output prompting",N/A,"LVLM (Qwen-VL-Plus) converts visual content to text content descriptions, GPT-3-turbo summarises clustered cross-page chunks, Qwen-turb LVLM re-ranks retrieved parent pages, Qwen-turbo/GPT-4o/DeepSeek-chat/ERNIE-turbo LLM for final answer generation wtih CoT",gong2025mhier
5,Self-Attention Scoring,Pix2Struct; ViT,page scoring backbone; patch encoder,Multi-Page VRDU Model,N/A,N/A,Convert document to image fed into Pix2Struct; page scoring to retrieve relevant pages using self-attention,Self-attention top-K retrieval + Pix2Struct VLM,N/A,N/A,kang2024multi
5,InstructDr,LayoutLMv3; LLaMA 3; LoRA,document encoder backbone; LLM decoder; parameter-efficient fine-tuning,Multi-Page VRDU Model,N/A,N/A,A Document-former is used to bridge multimodal document represenstation and LLM textual representation. Multi-task instruction tuning is applied.,Cross-attention based Document Former is applied to bridge gap between vision encoder and LLM. Only Document-former and FFN layer are trainable.,N/A,Frozen (FlanT5),tanaka2024instructdoc
5,PDF-WuKong,LLaVA; Qwen2-VL; ViT; LoRA,VLM architecture template; language backbone; visual encoder; efficient fine-tuning,Multi-Page VRDU Model,N/A,N/A,Introduce a Sparse Sampling module (task) to identify and extract the most relevant text chunks or diagrams based similary. Contrastive learning,The output from the text and image encoder are used to contrastive leraning and then feed into llm.,N/A,LLM (BGE-M3),xie2024wukong
5,Texthawk2,CLIP; LLaMA 3; Qwen2-VL; LLaVA; SigLIP-SO400m,visual encoder; LLM backbone option; architecture comparison; VLM template; visual encoder alternative,Multi-Page VRDU Model,N/A,N/A,"16x Visual Token Compression (ReSampling & Rearrangement), Unified Visual Encoder, Detection Head, Multi-level Cross Attention",ViT + Resampler + LLM + Detection Head,N/A,"Qwen2-7B-Instruct Pre-training: Initially frozen during warm-up; then trained with LoRA, Fine tuning stage is trainable",yu2024texthawk2
5,Leopard,SigLIP-SO400m; LLaMA 3; LLaVA; MLP Projector,visual encoder; LLM backbone; architecture template; vision-language connector,Multi-Page VRDU Model,N/A,N/A,High quality instruction-tuning data. High-resolution multi-image encoding module.,"LEOPARD is decoder only vision language model, uses SigLIP-SO-400M as encoder, 2 layer MLP vison language connector and backbond LLM (LLaMA-3.1 or Mistral-7B)",N/A,"Continue instruct-tuning: LLaVA, Idefics2 as backbone (MLLM )",jia2024leopard
5,mPLUG-DocOwl2,CLIP; LLaMA 3; LLaVA; LoRA,visual encoder; LLM backbone; VLM template; efficient fine-tuning,Multi-Page VRDU Model,N/A,N/A,"Introduce a novel compressing architecture to greatly reduce visual tokens of high resolution document images to enable multi-page document understanding. It leverages a Shape-adaptive Cropping Module and a low resolution vision encoder to encode high-resolution document images. The glolab visual feature can be enhanced by applying cross-attention with layout aligned high-resolution visual features. For multipage scenarios, a special token <img x> is added before each document image.",Build on Top of 1.5 version with a cross-attention absed High-reesolution DocCompressor.,"Single-image Pretraining, Multi-image Continue Pretraining",LLM (mPLUG-Owl2) is frozeon execpt fine-tuning stage.,hu2025mplug
5,LayoutLLM,LayoutLMv3; LLaMA 3; MLP Projector,document encoder; LLM backbone; vision-language connector,Multi-Page VRDU Model,N/A,N/A,Layout instruction tuning combining layout-aware pre-training with novel LayoutCoT module in SFT,LayoutLMv3-large as document encoder --> 2 MLP projectors (visual + text & layout) --> LLM backbone (causal decoder generates answer autoregressively),"Layout aware pre-training across 3 levels: document level, region-level, segment level, LLM frozen during pre-taining, only projectors and DocPTM encoder updated",Generate final answers (and LayoutCoT intermediate steps),luo2024layoutllm
5,Docopilot,LLaVA; Qwen2-VL; LoRA; ViT,architecture template; long-context VLM backbone; efficient fine-tuning; visual encoder,Multi-Page VRDU Model,N/A,N/A,Native long-context MLLM with Multimodal Data Packing and Ring Attention to achieve VQA without reliance on RAG,"Standard ViT-MLP-LLM architecture using pre-trained InternViT300M, 2 layer MLP projector, pretrained InternLM2 LLM decoder",InternVL2 (standard ViT + LLM),InternLM2 decoder-only LLM for generation,duan2025docopilot
5,Hi-VT5,T5; ViT,seq2seq backbone; visual patch encoder,Multi-Page VRDU Model,N/A,N/A,"Visual, textual and layout features passed to T5 encoder to produce answer",Hierarchical Transformer + per-page summary,T5 pretrained on single image docs,N/A,tito2023hierarchical
5,GRAM,BERT; T5; ViT,cross-page text encoding; seq2seq backbone; visual encoder,Multi-Page VRDU Model,N/A,N/A,Extends pretrained SP Encoder + Decoder using Global-Local encoder blocks with document tokens that propagate information across pages,"Interleaved encoder-decoder transformer built on DocFormerv2, self attention applied only over cross-page doc tokens.",DocFormerv2 (no further pre-training),N/A,blau2024gram
5,Arctic-TILT,BERT; T5; ViT,text encoder basis; encoder-decoder framework; visual feature extraction,Multi-Page VRDU Model,N/A,N/A,"""Tensor Product"" modality fusion mechanism integrated within each transformer block, chunked processing and sparse attention to handle long documents","Encoder-decoder transformer based on T5, combined with contextualized vision from a U-Net with textual semantics using a fusion operation placed after the FFNs in every encoder layer","Self supervised pretraining using pretrained T5, then further 900K steps self supervised pretraining on document datasets after introducing TILT architecture modifications","End-to-end multimodal processor directly consuming T, V, L inputs to generate text based answers",borchmann2025arctic
5,DocLLM,Transformer; LLaMA 3,disentangled spatial attention basis; LLM backbone,Multi-Page VRDU Model,N/A,N/A,"Extends standard LLMs with a disentangled spatial attention mechanism to capture cross-modal dependencies without vision encoder, pre-training uses autoregressive block infilling objective rather than next-token prediction","Causal decoder-only transformer (Falcon-1B or Llama2-7B) extended withspatia hidden vectors S and standard text hidden vectors H, attention decomposed into 4 disentangled scores (T2T, T2S, S2T, S2S) with only S2S activated at inference","Self supervised autoregressive block infilling: randomly mask text blocks, shuffles them, and reconstructs them sequentially using both preceding and following context","Single model performing all tasks: generate answers, extracts key values, classifies documents, fact verification",wang2024docllm
5,DocSLM,BERT; T5; ViT; LoRA,text encoder; seq2seq compression backbone; visual encoder; parameter-efficient fine-tuning,Multi-Page VRDU Model,N/A,N/A,"hierarchical multimodal compressor fuses visual, OCR text and layout features into fixed 576 token page representation + Streaming Abstention mechanism that processes document segments sequentially with entropy-based uncertainty calibration for constant memory footprint",SigLIP2 vision encoder + PaddleOCR extractor --> Local OCR compression --> Global visual compression --> MLP adapter --> Qwen2.5-1.5B SLM,1. OCR alignment 2. image compression 3. document compression (multi-page),"Generator: receives 576-token pae representations and natural language query, produces segment-level answer predictions with token-level entropy uncertainty scores",hannan2025docslm
5,DocLayLLM,LayoutLMv3; LLaMA 3; LoRA; MLP Projector; DiT,document encoder; LLM backbone; parameter-efficient fine-tuning; vision-language connector; document visual backbone,Multi-Page VRDU Model,N/A,N/A,"Efficient OCR dependent MLLM extension of LLMs that integrates document patch tokens (visual) and 2D positional tokens (layout) directly into the LLM's inpt squence alongside OCR text, combined with CoT pretraining and CoT annealing",OCR engine --> text tokens + image patch tokens + bounding box tokens --> unified LLM (Llama2-7B / Llama3-8B) with LoRA; no separate document encoder,"(not strictly pretraining) broad instruction tuning across many document tasks to align visual and layout tokens with the LLM, using ~3.1M diverse pairs",unified encoder and generator (Llama2 or 3) directly encodes all 3 modalities in its input sequence and generates the answer,liao2025doclayllm
